date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2001-42-42 | 1000
2012-01-11|1

2008-02-29 | 100
2012-02-29|0.01
1900-02-29 | 10
2011-04-31 | 42
2011-06-31 | 10.5
2011-09-31|1.0
2011-11-31 | 50
2012-12-31 | 999.99
2020-01-01|42
abcd-ef-gh | 100
2022-00-10 | 5
2022-13-10 | 5
2022-01-00 | 5
2022-01-32 | 5
2019-02-29 | 5
2024-02-29 | 5
2024-02-28 | 5
1900-02-28|1.0
0000-01-01|1.0
2023-12-00|1.0
2023-00-15|1.0
